Issue Type,Summary,Description,Priority
Sub-task,Test lead creation success and validation failures,"PARENT: Integration tests for lead creation flow. Assert status codes and response payload contracts for create endpoint.",High
Sub-task,Test owner assignment permission checks,"PARENT: Integration tests for lead creation flow. Verify permission-gated assignment and forbidden scenarios.",High
Sub-task,Verify post-create invariants,"PARENT: Integration tests for lead creation flow. Check activity log append and related contact linkage behavior.",Medium
Story,Integration tests for lead-to-deal conversion,"EPIC: Testing of Business-Critical Flows. Validate conversion correctness, permissions, and repeated-call behavior.",High
Sub-task,Test successful lead-to-deal conversion,"PARENT: Integration tests for lead-to-deal conversion. Assert entity transfer and expected side effects.",High
Sub-task,Test conversion idempotency/retry behavior,"PARENT: Integration tests for lead-to-deal conversion. Handle repeated calls safely and verify stable outcomes.",High
Sub-task,Test permission-denied conversion paths,"PARENT: Integration tests for lead-to-deal conversion. Ensure unauthorized users receive correct status and payload.",Medium
Story,Integration tests for attachment access control,"EPIC: Testing of Business-Critical Flows. Verify authorized access, public token scope, and invalid/deleted file handling.",High
Sub-task,Test private attachment authorization matrix,"PARENT: Integration tests for attachment access control. Cover allowed/denied access by role and ownership scope.",High
Sub-task,Test public token attachment scope,"PARENT: Integration tests for attachment access control. Ensure token grants access only to expected lead/proposal files.",High
Sub-task,Test invalid/deleted file behavior,"PARENT: Integration tests for attachment access control. Confirm stable 404/400 responses for missing or invalid resources.",Medium
Story,Phased TypeScript strictness uplift,"EPIC: Code Quality & Maintainability. Increase type safety in src/lib and src/app/api without big-bang migration.",Medium
Sub-task,Enable stricter checks in src/lib,"PARENT: Phased TypeScript strictness uplift. Turn on stricter options and resolve resulting compile issues.",Medium
Sub-task,Enable stricter checks in src/app/api,"PARENT: Phased TypeScript strictness uplift. Apply stricter typing to handlers and DTO parsing paths.",Medium
Sub-task,Remove high-risk any/nullable gaps,"PARENT: Phased TypeScript strictness uplift. Address unsafe contracts in critical business services.",Medium
Story,Standardize API error handling,"EPIC: Code Quality & Maintainability. Unify error payload format and mapping from domain errors to HTTP responses.",Medium
Sub-task,Define standard error response schema,"PARENT: Standardize API error handling. Include code, message, and correlation/request id fields.",Medium
Sub-task,Refactor core handlers to use shared error utility,"PARENT: Standardize API error handling. Replace ad-hoc patterns in high-traffic endpoints first.",Medium
Sub-task,Document domain-to-http error mapping,"PARENT: Standardize API error handling. Create concise doc for backend/frontend alignment.",Low
Story,Resolve legacy apps/web version drift,"EPIC: Code Quality & Maintainability. Decide archive/migrate/align strategy and document canonical app ownership.",Medium
Sub-task,Inventory apps/web usage and dependencies,"PARENT: Resolve legacy apps/web version drift. Identify active usage and any runtime/tooling coupling.",Medium
Sub-task,Choose and execute path (archive or align),"PARENT: Resolve legacy apps/web version drift. Perform minimal required changes for selected strategy.",Medium
Sub-task,Document canonical app and ownership,"PARENT: Resolve legacy apps/web version drift. Update docs to remove ambiguity for contributors.",Low
Story,Structured logging with correlation IDs,"EPIC: Observability & Operability. Add request correlation and standardized structured logs for incident debugging.",Medium
Sub-task,Generate/propagate request correlation id,"PARENT: Structured logging with correlation IDs. Attach id through middleware/handlers and include in responses where appropriate.",Medium
Sub-task,Standardize log fields for core events,"PARENT: Structured logging with correlation IDs. Include route, userId, entityId, status, duration, and error code.",Medium
Sub-task,Add log usage guide for incident response,"PARENT: Structured logging with correlation IDs. Provide filtering examples and triage workflow.",Low
Story,SLO dashboards and alerting,"EPIC: Observability & Operability. Build dashboards and alerts for 5xx, latency, and webhook failures with runbook.",Medium
Sub-task,Create SLO dashboards for core APIs,"PARENT: SLO dashboards and alerting. Add charts for error rate, p95 latency, and throughput.",Medium
Sub-task,Configure actionable alerts,"PARENT: SLO dashboards and alerting. Define thresholds and escalation channels to avoid alert fatigue.",Medium
Sub-task,Write runbook for on-call response,"PARENT: SLO dashboards and alerting. Document triage steps, rollback points, and validation checks.",Low
