Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Parent
Sub-task,Verify post-create invariants,"Check activity log append and related contact linkage behavior.",Medium,"crm,testing,domain",2,,,Integration tests for lead creation flow
Story,Integration tests for lead-to-deal conversion,"Validate conversion correctness, permissions, and repeated-call behavior.",High,"crm,testing,deals",5,,Testing of Business-Critical Flows,
Sub-task,Test successful lead-to-deal conversion,"Assert entity transfer and expected side effects.",High,"crm,testing,deals",2,,,Integration tests for lead-to-deal conversion
Sub-task,Test conversion idempotency/retry behavior,"Handle repeated calls safely and verify stable outcomes.",High,"crm,testing,reliability",2,,,Integration tests for lead-to-deal conversion
Sub-task,Test permission-denied conversion paths,"Ensure unauthorized users receive correct status and payload.",Medium,"crm,testing,rbac",1,,,Integration tests for lead-to-deal conversion
Story,Integration tests for attachment access control,"Verify authorized access, public token scope, and invalid/deleted file handling.",High,"crm,testing,files",5,,Testing of Business-Critical Flows,
Sub-task,Test private attachment authorization matrix,"Cover allowed/denied access by role and ownership scope.",High,"crm,testing,rbac",2,,,Integration tests for attachment access control
Sub-task,Test public token attachment scope,"Ensure token grants access only to expected lead/proposal files.",High,"crm,testing,security",2,,,Integration tests for attachment access control
Sub-task,Test invalid/deleted file behavior,"Confirm stable 404/400 responses for missing or invalid resources.",Medium,"crm,testing,api",1,,,Integration tests for attachment access control
Story,Phased TypeScript strictness uplift,"Increase type safety in src/lib and src/app/api without big-bang migration.",Medium,"crm,quality,typescript",8,,Code Quality & Maintainability,
Sub-task,Enable stricter checks in src/lib,"Turn on stricter options and resolve resulting compile issues.",Medium,"crm,quality,typescript",3,,,Phased TypeScript strictness uplift
Sub-task,Enable stricter checks in src/app/api,"Apply stricter typing to handlers and DTO parsing paths.",Medium,"crm,quality,typescript",3,,,Phased TypeScript strictness uplift
Sub-task,Remove high-risk any/nullable gaps,"Address unsafe contracts in critical business services.",Medium,"crm,quality,typescript",2,,,Phased TypeScript strictness uplift
Story,Standardize API error handling,"Unify error payload format and mapping from domain errors to HTTP responses.",Medium,"crm,quality,api",5,,Code Quality & Maintainability,
Sub-task,Define standard error response schema,"Include code, message, and correlation/request id fields.",Medium,"crm,quality,api",2,,,Standardize API error handling
Sub-task,Refactor core handlers to use shared error utility,"Replace ad-hoc patterns in high-traffic endpoints first.",Medium,"crm,quality,api",2,,,Standardize API error handling
Sub-task,Document domain-to-http error mapping,"Create concise doc for backend/frontend alignment.",Low,"crm,docs,api",1,,,Standardize API error handling
Story,Resolve legacy apps/web version drift,"Decide archive/migrate/align strategy and document canonical app ownership.",Medium,"crm,architecture,monorepo",3,,Code Quality & Maintainability,
Sub-task,Inventory apps/web usage and dependencies,"Identify active usage and any runtime/tooling coupling.",Medium,"crm,architecture,monorepo",1,,,Resolve legacy apps/web version drift
Sub-task,Choose and execute path (archive or align),"Perform minimal required changes for selected strategy.",Medium,"crm,architecture,monorepo",1,,,Resolve legacy apps/web version drift
Sub-task,Document canonical app and ownership,"Update docs to remove ambiguity for contributors.",Low,"crm,docs,process",1,,,Resolve legacy apps/web version drift
Story,Structured logging with correlation IDs,"Add request correlation and standardized structured logs for incident debugging.",Medium,"crm,observability,logging",5,,Observability & Operability,
Sub-task,Generate/propagate request correlation id,"Attach id through middleware/handlers and include in responses where appropriate.",Medium,"crm,observability,logging",2,,,Structured logging with correlation IDs
Sub-task,Standardize log fields for core events,"Include route, userId, entityId, status, duration, and error code.",Medium,"crm,observability,logging",2,,,Structured logging with correlation IDs
Sub-task,Add log usage guide for incident response,"Provide filtering examples and triage workflow.",Low,"crm,docs,observability",1,,,Structured logging with correlation IDs
Story,SLO dashboards and alerting,"Build dashboards and alerts for 5xx, latency, and webhook failures with runbook.",Medium,"crm,observability,slo",5,,Observability & Operability,
Sub-task,Create SLO dashboards for core APIs,"Add charts for error rate, p95 latency, and throughput.",Medium,"crm,observability,slo",2,,,SLO dashboards and alerting
Sub-task,Configure actionable alerts,"Define thresholds and escalation channels to avoid alert fatigue.",Medium,"crm,observability,alerts",2,,,SLO dashboards and alerting
Sub-task,Write runbook for on-call response,"Document triage steps, rollback points, and validation checks.",Low,"crm,docs,runbook",1,,,SLO dashboards and alerting
