Project Key,Issue Type,Summary,Description,Priority,Labels,Component/s,Sprint,Fix Version,Story Points,Epic Name,Roadmap Group,Parent Summary
CRM,Sub-task,Add smoke checks for stale UI regressions,"Verify key pages refresh correctly after mutations.",Medium,"crm,testing,cache","Backend,QA","Sprint 2",v1.2,1,,Core API Performance & Cache Strategy,Centralize cache invalidation for mutations
CRM,Story,Establish API performance baseline metrics,"Track p50/p95 latency and error rate for core endpoints with before/after comparison.",High,"crm,performance,metrics","Backend,DevOps","Sprint 3",v1.2,3,,Core API Performance & Cache Strategy,
CRM,Sub-task,Add latency/status instrumentation,"Capture endpoint duration and status with route metadata.",High,"crm,observability,metrics","Backend,DevOps","Sprint 3",v1.2,1,,Core API Performance & Cache Strategy,Establish API performance baseline metrics
CRM,Sub-task,Publish baseline report,"Document baseline values and target improvements for top endpoints.",Medium,"crm,performance,metrics","Backend,QA","Sprint 3",v1.2,1,,Core API Performance & Cache Strategy,Establish API performance baseline metrics
CRM,Sub-task,Create recurring trend review,"Schedule weekly review of latency/error trends and actions.",Medium,"crm,process,metrics","Backend,QA,Product","Sprint 3",v1.2,1,,Core API Performance & Cache Strategy,Establish API performance baseline metrics
CRM,Story,Integration tests for lead creation flow,"Cover valid/invalid payloads, owner assignment permissions, and post-create invariants.",High,"crm,testing,leads","Backend,QA","Sprint 2",v1.2,8,,Testing of Business-Critical Flows,
CRM,Sub-task,Test lead creation success and validation failures,"Assert status codes and response payload contracts for create endpoint.",High,"crm,testing,api","Backend,QA","Sprint 2",v1.2,3,,Testing of Business-Critical Flows,Integration tests for lead creation flow
CRM,Sub-task,Test owner assignment permission checks,"Verify permission-gated assignment and forbidden scenarios.",High,"crm,testing,rbac","Backend,QA","Sprint 2",v1.2,3,,Testing of Business-Critical Flows,Integration tests for lead creation flow
CRM,Sub-task,Verify post-create invariants,"Check activity log append and related contact linkage behavior.",Medium,"crm,testing,domain","Backend,QA","Sprint 2",v1.2,2,,Testing of Business-Critical Flows,Integration tests for lead creation flow
CRM,Story,Integration tests for lead-to-deal conversion,"Validate conversion correctness, permissions, and repeated-call behavior.",High,"crm,testing,deals","Backend,QA","Sprint 2",v1.2,5,,Testing of Business-Critical Flows,
CRM,Sub-task,Test successful lead-to-deal conversion,"Assert entity transfer and expected side effects.",High,"crm,testing,deals","Backend,QA","Sprint 2",v1.2,2,,Testing of Business-Critical Flows,Integration tests for lead-to-deal conversion
CRM,Sub-task,Test conversion idempotency/retry behavior,"Handle repeated calls safely and verify stable outcomes.",High,"crm,testing,reliability","Backend,QA","Sprint 2",v1.2,2,,Testing of Business-Critical Flows,Integration tests for lead-to-deal conversion
CRM,Sub-task,Test permission-denied conversion paths,"Ensure unauthorized users receive correct status and payload.",Medium,"crm,testing,rbac","Backend,QA","Sprint 2",v1.2,1,,Testing of Business-Critical Flows,Integration tests for lead-to-deal conversion
CRM,Story,Integration tests for attachment access control,"Verify authorized access, public token scope, and invalid/deleted file handling.",High,"crm,testing,files","Backend,QA","Sprint 3",v1.2,5,,Testing of Business-Critical Flows,
CRM,Sub-task,Test private attachment authorization matrix,"Cover allowed/denied access by role and ownership scope.",High,"crm,testing,rbac","Backend,QA","Sprint 3",v1.2,2,,Testing of Business-Critical Flows,Integration tests for attachment access control
CRM,Sub-task,Test public token attachment scope,"Ensure token grants access only to expected lead/proposal files.",High,"crm,testing,security","Backend,QA","Sprint 3",v1.2,2,,Testing of Business-Critical Flows,Integration tests for attachment access control
CRM,Sub-task,Test invalid/deleted file behavior,"Confirm stable 404/400 responses for missing or invalid resources.",Medium,"crm,testing,api","Backend,QA","Sprint 3",v1.2,1,,Testing of Business-Critical Flows,Integration tests for attachment access control
CRM,Story,Phased TypeScript strictness uplift,"Increase type safety in src/lib and src/app/api without big-bang migration.",Medium,"crm,quality,typescript","Backend,Frontend","Sprint 4",v1.3,8,,Code Quality & Maintainability,
CRM,Sub-task,Enable stricter checks in src/lib,"Turn on stricter options and resolve resulting compile issues.",Medium,"crm,quality,typescript",Backend,"Sprint 4",v1.3,3,,Code Quality & Maintainability,Phased TypeScript strictness uplift
CRM,Sub-task,Enable stricter checks in src/app/api,"Apply stricter typing to handlers and DTO parsing paths.",Medium,"crm,quality,typescript",Backend,"Sprint 4",v1.3,3,,Code Quality & Maintainability,Phased TypeScript strictness uplift
CRM,Sub-task,Remove high-risk any/nullable gaps,"Address unsafe contracts in critical business services.",Medium,"crm,quality,typescript","Backend,Frontend","Sprint 4",v1.3,2,,Code Quality & Maintainability,Phased TypeScript strictness uplift
CRM,Story,Standardize API error handling,"Unify error payload format and mapping from domain errors to HTTP responses.",Medium,"crm,quality,api","Backend,Frontend","Sprint 3",v1.2,5,,Code Quality & Maintainability,
CRM,Sub-task,Define standard error response schema,"Include code, message, and correlation/request id fields.",Medium,"crm,quality,api","Backend,Frontend","Sprint 3",v1.2,2,,Code Quality & Maintainability,Standardize API error handling
CRM,Sub-task,Refactor core handlers to use shared error utility,"Replace ad-hoc patterns in high-traffic endpoints first.",Medium,"crm,quality,api",Backend,"Sprint 3",v1.2,2,,Code Quality & Maintainability,Standardize API error handling
CRM,Sub-task,Document domain-to-http error mapping,"Create concise doc for backend/frontend alignment.",Low,"crm,docs,api","Backend,Frontend,Product","Sprint 3",v1.2,1,,Code Quality & Maintainability,Standardize API error handling
CRM,Story,Resolve legacy apps/web version drift,"Decide archive/migrate/align strategy and document canonical app ownership.",Medium,"crm,architecture,monorepo","Backend,Frontend","Sprint 4",v1.3,3,,Code Quality & Maintainability,
CRM,Sub-task,Inventory apps/web usage and dependencies,"Identify active usage and any runtime/tooling coupling.",Medium,"crm,architecture,monorepo","Backend,Frontend","Sprint 4",v1.3,1,,Code Quality & Maintainability,Resolve legacy apps/web version drift
CRM,Sub-task,Choose and execute path (archive or align),"Perform minimal required changes for selected strategy.",Medium,"crm,architecture,monorepo","Backend,Frontend","Sprint 4",v1.3,1,,Code Quality & Maintainability,Resolve legacy apps/web version drift
CRM,Sub-task,Document canonical app and ownership,"Update docs to remove ambiguity for contributors.",Low,"crm,docs,process","Backend,Frontend,Product","Sprint 4",v1.3,1,,Code Quality & Maintainability,Resolve legacy apps/web version drift
CRM,Story,Structured logging with correlation IDs,"Add request correlation and standardized structured logs for incident debugging.",Medium,"crm,observability,logging","Backend,DevOps","Sprint 4",v1.3,5,,Observability & Operability,
CRM,Sub-task,Generate/propagate request correlation id,"Attach id through middleware/handlers and include in responses where appropriate.",Medium,"crm,observability,logging","Backend,DevOps","Sprint 4",v1.3,2,,Observability & Operability,Structured logging with correlation IDs
CRM,Sub-task,Standardize log fields for core events,"Include route, userId, entityId, status, duration, and error code.",Medium,"crm,observability,logging","Backend,DevOps","Sprint 4",v1.3,2,,Observability & Operability,Structured logging with correlation IDs
CRM,Sub-task,Add log usage guide for incident response,"Provide filtering examples and triage workflow.",Low,"crm,docs,observability","Backend,DevOps,Product","Sprint 4",v1.3,1,,Observability & Operability,Structured logging with correlation IDs
CRM,Story,SLO dashboards and alerting,"Build dashboards and alerts for 5xx, latency, and webhook failures with runbook.",Medium,"crm,observability,slo","Backend,DevOps","Sprint 5",v1.4,5,,Observability & Operability,
CRM,Sub-task,Create SLO dashboards for core APIs,"Add charts for error rate, p95 latency, and throughput.",Medium,"crm,observability,slo","Backend,DevOps","Sprint 5",v1.4,2,,Observability & Operability,SLO dashboards and alerting
CRM,Sub-task,Configure actionable alerts,"Define thresholds and escalation channels to avoid alert fatigue.",Medium,"crm,observability,alerts","Backend,DevOps","Sprint 5",v1.4,2,,Observability & Operability,SLO dashboards and alerting
CRM,Sub-task,Write runbook for on-call response,"Document triage steps, rollback points, and validation checks.",Low,"crm,docs,runbook","Backend,DevOps,Product","Sprint 5",v1.4,1,,Observability & Operability,SLO dashboards and alerting
